Wine,info_url_x,dry/sweetness,light/bold (body),tannins,acidity,abv,wine_type,pairing_notes,wine_expert_id,key flavors,img_url,info_url_y,in_list,winery
"Chasselas ""Swissness""",https://www.ddiwine.com/products/chasselas-swissness,2,1,1,2,11.5-13.5,1,"Fondue Savoyarde,Raclette,Perch Fillets with Lemon Butter,Gruyère Cheese Tart,Sushi and Sashimi,Quiche Lorraine,Trout Almondine,Spinach and Goat Cheese Salad,Steamed Mussels with Garlic and Parsley,Fava Bean and Pecorino Salad,Chicken Vol-au-Vent,Grilled Shrimp with Lemon Herb Drizzle,Tarte Flambée,Oysters on the Half Shell,Smoked Salmon Blinis,Fondue,Prosciutto,Spicy Chicken Enchilladas,Spicy Chicken Enchiladas,Proscuitto Wrapped Melon,Proscuitto-Wrapped Melon",,"Orange Blossom, Honeysuckle, Apricot, Citrus",https://drive.google.com/file/d/1WbdtiyORgO4d4jQyFe1NhIVV0kIVAEdO/view?usp=sharing,https://www.ddiwine.com/collections/all-wine/products/chasselas-swissness,TRUE,CAVE DE LA CÔTE
"Gamay ""Swissness""",https://www.ddiwine.com/products/gamay-swissness,2,3,3,4,11.5-13.5,3,"Gamay is an excellent charcuterie and tapas wine. The best pairings are within red sauce pastas, lasagna, and my personal favorite pairing, pizza.",3,"Cherry, Raspberry, Red Plum, Black Currant",https://drive.google.com/file/d/1crcB0P757LqlZaUim2YKbi4Pt2hqu5wh/view?usp=sharing,https://www.ddiwine.com/collections/all-wine/products/gamay-swissness,TRUE,CAVE DE LA CÔTE
"Kerner ""Saturnales""",https://www.ddiwine.com/products/saturnales-kerner,4,4,1,2,11.5-13.5,1,Kerner pairs exceptionally well with spice-based dishes such as Thai or curry-based recipes. Also flexible enough to compliment a garlic chicken or pork tenderloin.,3,"Gooseberry, Starfruit, Lychee, Papaya, Lime ",https://drive.google.com/file/d/1pQHfx6jsmzlA6wEkQMlaLdXZxD2YfuV3/view?usp=sharing,https://www.ddiwine.com/collections/all-wine/products/saturnales-kerner,FALSE,DOMAINE DU CENTAURE
"Scheurebe ""Les Eliades""",https://www.ddiwine.com/products/les-eliades-scheurebe,3,2,1,3,11.5-13.5,1,"It pairs wonderfully with sweet and savory dishes and desserts and best compliments aromatic and spicy food. It is best enjoyed with a hint of spice in the dish, like smoked spice chicken over cheese polenta.",3,"Dried Herbs, Grapefruit, Nectarine, Black Currant, Lychee",https://drive.google.com/file/d/1cSw4qsMoPb7146perbhgJjxmEATxCUAG/view?usp=sharing,https://www.ddiwine.com/collections/all-wine/products/les-eliades-scheurebe,TRUE,DOMAINE DU CENTAURE
Petite Arvine,https://www.ddiwine.com/products/varone-petite-arvine,2,2,1,4,11.5-13.5,1,Pairs beautifully as an aperitif or with seafood such as crab and salmon.,3,"Citrus, Passion Fruit, Gooseberry, Salt, Grapefruit, Quince",https://www.ddiwine.com/cdn/shop/files/Petite_Arvine_Les_Celliers_de_Sion.jpg?v=1710000000,https://www.ddiwine.com/collections/all-wine/products/varone-petite-arvine,TRUE,LES CELLIERS DE SION
"Gamaret-Garanoir ""Légende""",https://www.ddiwine.com/products/legende-gamaret-garanoir,2,5,4,2,13.5-15,3,"The fruity aromas are great with hard cheeses like gruyere, comte, and manchego. While also transitioning seamlessly into more filling dinners like risotto, grilled meats, especially grilled duck.",3,"Oak, Sage, Tobacco, Spices, Black Currant",https://drive.google.com/file/d/1uccQvt-fokyXpPUzELC9CRHiQ0jl404M/view?usp=sharing,https://www.ddiwine.com/collections/all-wine/products/legende-gamaret-garanoir,TRUE,DOMAINE DU CENTAURE
Cornalin,https://www.ddiwine.com/products/cornalin-1,3,3,3,3,11.5-13.5,3,"Pairs beautifully with tenderloin filet, game meats, and venison.",3,"Cherry, Cocoa, Chocolate, Blackberry, Clove",https://www.ddiwine.com/cdn/shop/files/Cornalin_Les_Celliers_de_Sion.jpg?v=1710000000,https://www.ddiwine.com/collections/all-wine/products/cornalin-1,TRUE,LES CELLIERS DE SION
"Fendant ""Les Murettes""",https://www.ddiwine.com/products/fendant,2,2,1,3.5,12.5,1,"Maison Gilliard's iconic Fendant. A vibrant, mineral-driven aperitif that perfectly pairs with Swiss cheese fondue, raclette, or light white fish.",,"Linden Blossom, Green Apple, Flint Minerality, Lemon Zest",https://www.ddiwine.com/cdn/shop/files/Fendant_Les_Murettes_Maison_Gilliard.jpg?v=1710000000,,FALSE,MAISON GILLIARD
"Cabernet Sauvignon ""Jupiter""",https://www.ddiwine.com/products/la-cuisse-de-jupiter-cabernet-sauvignon,2,5,4,3,13.5-15,3,"Mushroom Risotto,Smoked Tofu,Bacon-Wrapped Dates,Eggplant Parmesan,prime rib,New York strip,filet mignon",,"Plum, Cherry, Dark Chocolate, Black Pepper, Oak",https://drive.google.com/file/d/1UJPVuhChHI4R3N5bgdI0siFUosqGgSso/view?usp=drive_link,https://www.ddiwine.com/collections/all-wine/products/la-cuisse-de-jupiter-cabernet-sauvignon,TRUE,DOMAINE DU CENTAURE
Chasselas,https://www.ddiwine.com/products/domaine-les-perrieres-chasselas,1.5,1,1,3,12,1,"Classic Geneva or Vaud Chasselas. Soft, round, and elegant. Excellent as a starter or paired with Gruyère cheese and charcuterie.",,"White Peach, Floral Bouquet, Subtle Citrus, Mineral",https://www.ddiwine.com/cdn/shop/files/Chasselas_Domaine_les_Perrieres.jpg?v=1710000000,,FALSE,DOMAINE LES PERRIERES
Oeil-de-Perdrix (Rosé of Pinot Noir),https://www.ddiwine.com/products/caves-du-prieure-l-oeil-de-perdrix,2,2.5,1.5,4,13,2,"Traditional Neuchâtel style Pinot Noir Rosé. Refreshing and structured. Ideal for summer salads, grilled salmon, or spicy Asian dishes.",,"Wild Strawberry, Redcurrant, Rhubarb, Crisp Citrus",https://www.ddiwine.com/cdn/shop/files/Oeil_de_Perdrix_Caves_du_Prieure.jpg?v=1710000000,,FALSE,CAVES DU PRIEURE
"Dôle ""Des Monts""",https://www.ddiwine.com/products/dole,1,3,2.5,3,13.5,3,"Maison Gilliard's famous blend of Pinot Noir and Gamay. Harmonious and fruity. Great with roasted poultry, mushroom dishes, or mild cheeses.",,"Red Cherry, Raspberry, Subtle Spice, Earthy",https://www.ddiwine.com/cdn/shop/files/Dole_Des_Monts_Maison_Gilliard.jpg?v=1710000000,,FALSE,MAISON GILLIARD
"Merlot ""Nom de Zeus""",https://www.ddiwine.com/products/nom-de-zues-merlot,1,4,4,3,13.5-15,3,"Italian-style sausages with fennel,Spaghetti and meatballs,Macaroni cheese,Meatloaf,cheeseburgers,jambalaya,Roast turkey,Chinese style crispy duck pancakes,Braised short ribs,Beef Wellington,Roast beef,Pizza,bbq chicken,Mac & Cheese,Pasta Bolognese,Steak",,"Vanilla, Blackberry, Plum",https://www.ddiwine.com/cdn/shop/files/Merlot_Nom_de_Zeus_Domaine_du_Centaure.jpg?v=1710000000,https://www.ddiwine.com/collections/all-wine/products/nom-de-zues-merlot,TRUE,DOMAINE DU CENTAURE
Gamay,https://www.ddiwine.com/products/domaine-les-perrieres-gamay,2,2.5,2,3,12.5,3,"Lively and fruit-forward Geneva Gamay. Try serving slightly chilled with terrines, roasted pork, or casual BBQ.",,"Juicy Red Plum, Cranberry, Black Pepper, Violet",,,FALSE,DOMAINE LES PERRIERES
"Merlot ""Rosso di Luna""",https://www.ddiwine.com/products/delea-red-merlot,1,3,4,3,13.5-15,3,,,"Cherry, Baked Brie, Plum",https://drive.google.com/file/d/1XlABABkX2fDyXQSQTXuShOqGkPyYYeQu/view?usp=drive_link,https://www.ddiwine.com/collections/all-wine/products/delea-red-merlot,TRUE,VINI DELEA
"White Merlot ""Chiar di Luna""",https://www.ddiwine.com/products/white-merlot,2,2,1,2,,1,,,"Melon, Linden Flowers, Pear",https://drive.google.com/file/d/1opZgW2LvbYuhywKIPTmxc4YerYyfBwMN/view?usp=drive_link,https://www.ddiwine.com/collections/all-wine/products/white-merlot,TRUE,VINI DELEA
Müller-Thurgau (Riesling-Sylvaner),https://www.ddiwine.com/products/weingut-rebhalde-muller-thurgau,1.5,1.5,1,3,10.5,1,"Delightful as an aperitif. Pairs beautifully with freshwater fish, light pastas, seasonal vegetables, and soft cheeses.",,"Elderflower, Jasmine, Crunchy Nectarine, Green Apple, Citrus",,,FALSE,WEINGUT REBHALDE
Chasselas Non-Filtré,https://www.ddiwine.com/products/chasselas-non-filtre,1.5,2,1,3.5,11.5,1,"Unfiltered Neuchâtel specialty. Cloudy, rich in lees, and zesty. Fantastic with asparagus, seafood, and fresh goat cheese.",,"Grapefruit, Yeasty Bread Dough, Pear, Cloudy Mineral",,,FALSE,CAVES DU PRIEURE
Pet Nat,https://www.ddiwine.com/products/petnat,1.5,2,1,4,12,2Brut Rosé,"Excellent sparkling wine. Great for celebrations, oysters, and fried foods.",,"Orchard Fruit, Brioche, Lemon Citrus, Fine Bubbles",,,FALSE,WEINGUT OBRECHT
"Pinot Noir ""Trocla Nera""",https://www.ddiwine.com/products/pinot-noir-trocla-nera,1,3.5,3,3.8,13.5,3,"Premium Graubünden Pinot Noir. Complex and structured. A stunning pairing for venison, lamb rack, or aged hard cheeses.",,"Dark Cherry, Clove, Forest Floor, Elegant Spice",,,FALSE,WEINGUT OBRECHT
"Brut Blanc de Blancs ""Ô de la Côte""",https://www.ddiwine.com/products/brut-blanc-de-blancs-o-de-la-cote,3,2,1,3,12,4,"Excellent sparkling wine. Great for celebrations, oysters, and fried foods.",,"Pear, Brioche, Lemon Citrus, Fine Bubbles",,,FALSE,CAVE DE LA CÔTE
"Pinot Noir ""Monolith""",https://www.ddiwine.com/products/pinot-noir-monolith,1,4,3.5,3.5,14,3,"A monumental Swiss Pinot Noir with deep oak integration. Decant and serve with fine cuts of beef, truffle risotto, or duck breast.",,"Black Cherry, Truffle, Oak Spice, Velvety",,,FALSE,WEINGUT OBRECHT
