Wine,info_url_x,dry/sweetness,light/bold (body),tannins,acidity,abv,wine_type,pairing_notes,wine_expert_id,key flavors,img_url,info_url_y,in_list
"Chasselas ""Swissness""",https://www.ddiwine.com/products/chasselas-swissness,2.0,1.0,1.0,2.0,11.5-13.5,1,"Fondue Savoyarde,Raclette,Perch Fillets with Lemon Butter,Gruyère Cheese Tart,Sushi and Sashimi,Quiche Lorraine,Trout Almondine,Spinach and Goat Cheese Salad,Steamed Mussels with Garlic and Parsley,Fava Bean and Pecorino Salad,Chicken Vol-au-Vent,Grilled Shrimp with Lemon Herb Drizzle,Tarte Flambée,Oysters on the Half Shell,Smoked Salmon Blinis,Fondue,Prosciutto,Spicy Chicken Enchilladas,Spicy Chicken Enchiladas,Proscuitto Wrapped Melon,Proscuitto-Wrapped Melon",,"Orange Blossom, Honeysuckle, Apricot, Citrus",https://drive.google.com/file/d/1WbdtiyORgO4d4jQyFe1NhIVV0kIVAEdO/view?usp=sharing,https://www.ddiwine.com/collections/all-wine/products/chasselas-swissness,True
"Gamay ""Swissness""",https://www.ddiwine.com/products/gamay-swissness,2.0,3.0,3.0,4.0,11.5-13.5,3,"Gamay is an excellent charcuterie and tapas wine. The best pairings are within red sauce pastas, lasagna, and my personal favorite pairing, pizza.",3.0,"Cherry, Raspberry, Red Plum, Black Currant",https://drive.google.com/file/d/1crcB0P757LqlZaUim2YKbi4Pt2hqu5wh/view?usp=sharing,https://www.ddiwine.com/collections/all-wine/products/gamay-swissness,True
"Kerner ""Saturnales""",https://www.ddiwine.com/products/saturnales-kerner,4.0,4.0,1.0,2.0,11.5-13.5,1,Kerner pairs exceptionally well with spice-based dishes such as Thai or curry-based recipes. Also flexible enough to compliment a garlic chicken or pork tenderloin.,3.0,"Gooseberry, Starfruit, Lychee, Papaya, Lime ",https://drive.google.com/file/d/1pQHfx6jsmzlA6wEkQMlaLdXZxD2YfuV3/view?usp=sharing,https://www.ddiwine.com/collections/all-wine/products/saturnales-kerner,False
"Scheurebe ""Les Eliades""",https://www.ddiwine.com/products/les-eliades-scheurebe,3.0,2.0,1.0,3.0,11.5-13.5,1,"It pairs wonderfully with sweet and savory dishes and desserts and best compliments aromatic and spicy food. It is best enjoyed with a hint of spice in the dish, like smoked spice chicken over cheese polenta.",3.0,"Dried Herbs, Grapefruit, Nectarine, Black Currant, Lychee",https://drive.google.com/file/d/1cSw4qsMoPb7146perbhgJjxmEATxCUAG/view?usp=sharing,https://www.ddiwine.com/collections/all-wine/products/les-eliades-scheurebe,True
Petite Arvine,https://www.ddiwine.com/products/varone-petite-arvine,2.0,2.0,1.0,4.0,11.5-13.5,1,Pairs beautifully as an aperitif or with seafood such as crab and salmon.,3.0,"Citrus, Passion Fruit, Gooseberry, Salt, Grapefruit, Quince",https://www.ddiwine.com/cdn/shop/files/Petite_Arvine_Les_Celliers_de_Sion.jpg?v=1710000000,https://www.ddiwine.com/collections/all-wine/products/varone-petite-arvine,True
"Gamaret-Garanoir ""Légende""",https://www.ddiwine.com/products/legende-gamaret-garanoir,2.0,5.0,4.0,2.0,13.5-15,3,"The fruity aromas are great with hard cheeses like gruyere, comte, and manchego. While also transitioning seamlessly into more filling dinners like risotto, grilled meats, especially grilled duck.",3.0,"Oak, Sage, Tobacco, Spices, Black Currant",https://drive.google.com/file/d/1uccQvt-fokyXpPUzELC9CRHiQ0jl404M/view?usp=sharing,https://www.ddiwine.com/collections/all-wine/products/legende-gamaret-garanoir,True
Cornalin,https://www.ddiwine.com/products/cornalin-1,3.0,3.0,3.0,3.0,11.5-13.5,3,"Pairs beautifully with tenderloin filet, game meats, and venison.",3.0,"Cherry, Cocoa, Chocolate, Blackberry, Clove",https://www.ddiwine.com/cdn/shop/files/Cornalin_Les_Celliers_de_Sion.jpg?v=1710000000,https://www.ddiwine.com/collections/all-wine/products/cornalin-1,True
"Fendant ""Les Murettes""",https://www.ddiwine.com/products/fendant,2.0,2.0,1.0,3.5,12.5,1,"Maison Gilliard's iconic Fendant. A vibrant, mineral-driven aperitif that perfectly pairs with Swiss cheese fondue, raclette, or light white fish.",,"Linden Blossom, Green Apple, Flint Minerality, Lemon Zest",https://www.ddiwine.com/cdn/shop/files/Fendant_Les_Murettes_Maison_Gilliard.jpg?v=1710000000,,False
"Cabernet Sauvignon ""Jupiter""",https://www.ddiwine.com/products/la-cuisse-de-jupiter-cabernet-sauvignon,2.0,5.0,4.0,3.0,13.5-15,3,"Mushroom Risotto,Smoked Tofu,Bacon-Wrapped Dates,Eggplant Parmesan,prime rib,New York strip,filet mignon",,"Plum, Cherry, Dark Chocolate, Black Pepper, Oak",https://drive.google.com/file/d/1UJPVuhChHI4R3N5bgdI0siFUosqGgSso/view?usp=drive_link,https://www.ddiwine.com/collections/all-wine/products/la-cuisse-de-jupiter-cabernet-sauvignon,True
Chasselas,https://www.ddiwine.com/products/domaine-les-perrieres-chasselas,1.5,1.0,1.0,3.0,12.0,1,"Classic Geneva or Vaud Chasselas. Soft, round, and elegant. Excellent as a starter or paired with Gruyère cheese and charcuterie.",,"White Peach, Floral Bouquet, Subtle Citrus, Mineral",https://www.ddiwine.com/cdn/shop/files/Chasselas_Domaine_les_Perrieres.jpg?v=1710000000,,False
