food_name,food_name_en,Sweetness,Acidity,Saltiness,Bitterness,Umami,Spiciness_Heat,Richness,Texture_Prep,Cluster,Vibe_Tag,food_description_en,image_file
소갈비구이,Korean BBQ Grilled Short Ribs (Galbi),2.3,1,1.6,1.2,2.4,1,2,1.8,1,Family,Grilled beef short ribs marinated in a sweet and savory soy-based sauce with hints of garlic and sesame.,Galbi.png
불고기,Sweet Soy Marinated Beef (Bulgogi),2.46,1.15,1.62,1.15,2.46,1,1.77,1.77,1,"Family, Friends","Thinly sliced tender beef marinated in a classic sweet soy and garlic sauce, cooked to caramelized perfection.",Bulgogi.png
순대,Korean Blood Sausage (Sundae),1.13,1,1.93,1.53,2.6,1,1.87,1.73,4,Solo,"Traditional Korean blood sausage stuffed with glass noodles and sweet rice, offering a chewy and savory experience.",sundae.jpeg
삼겹살구이,Grilled Pork Belly (Samgyeopsal),1.36,1.18,1.82,1.09,2.27,1,2.82,2.09,3,Family,"Thick slices of unmarinated pork belly, grilled to a crispy golden brown and meant to be wrapped in fresh lettuce.",PorkBelly.png
소고기등심구이,Korean BBQ Beef Ribeye Steak (Deongsim),1.11,1,1.56,1.67,2.11,1,2.78,2.11,5,Family,"Premium grilled beef ribeye, cherished for its rich marbling, tenderness, and robust meaty flavor.",Ribeye.png
제육볶음,Spicy Stir-Fried Pork (Jeyuk-bokkeum),2.08,1.25,1.58,1.25,2.5,2.08,1.58,1.92,2,"Family, Friends",Spicy stir-fried pork marinated in a savory gochujang (Korean chili paste) sauce with a perfect balance of smoky and fiery flavors.,jeyuk_bokkeum.png
항정살구이,Grilled Pork Jowl BBQ (Hangjeongsal),1.33,1,1,1.33,3.33,1,3.67,3.33,5,Family,"Grilled pork jowl, known for its unique crunchy yet tender texture and rich, juicy flavor.",hangjeongsal.png
통삼겹오븐구이,Oven-Roasted Whole Pork Belly,1.4,1,1.7,1.4,2.5,1,1.8,1.7,1,Family,"Whole slab of pork belly slow-roasted in the oven, resulting in incredibly tender meat with a crispy exterior.",roasted_chunk_pork_belly.png
매운족발,Spicy Glazed Pig's Trotters (Maeun-jokbal),2.3,1.1,1.8,1.2,2.3,2.4,1.4,1.7,2,Friends,"Braised pork trotters tossed in an intense, fiery chili sauce that delivers a serious spicy kick.",maeun_jokbal.png
소갈비찜,Braised Beef Short Ribs (Galbi-jjim),2.13,1.07,1.53,1.33,2.2,1,1.8,1.8,1,Family,"Slow-braised beef short ribs in a rich, sweet soy glaze with carrots and radishes, melting off the bone.",galbi_jjim.jpeg
